"Author, Last","Author, First",Series,Series #,Title,Pbk?,ISBN / LCCC#,Comments
Hunter,Erin,Warriors: 4 Omen of the Stars,4,Sign of the Moon,,978-0-06-155518-3,
Hunter,Erin,Warriors: 4 Omen of the Stars,5,Forgotten Warrior,,978-0-06-155522-0,
Hunter,Erin,Warriors: 4 Omen of the Stars,6,Last Hope,,978-0-06-155527-5,
Hunter,Erin,Warriors: 5 Super Edition,,Crookedstar's Promise,,978-0-06-198097-8,
Hunter,Erin,Warriors: 5 Super Edition,,Firestar's Quest,,978-0-06-113164-6,
Hunter,Erin,Warriors: 5 Super Edition,,SkyClan's Destiny,,978-0-06-169994-8,
Huxley,Aldous,,,Brave New World,,,
Ibbotson,Eva,,,Secret of Platform 13,✓,0-439-26768-4,
Iggulden,Conn,Conqueror,1,Wolf of the Plains,✓,978-0-00-720175-4,
Irving,Washington,,,"Sketch Book of Geoffrey Crayon, Gent.",,,
Ishii,Takayuki,,,One Thousand Paper Cranes,✓,978-0-440-22843-1,
Jacques,Brian,Redwall,1,Lord Brocktree,✓,0-441-00872-0,
Jacques,Brian,Redwall,2,Martin the Warrior,✓,0-14-240055-6,
Jacques,Brian,Redwall,3,Mossflower,✓,0-14-230238-4,
Jacques,Brian,Redwall,4,Legend of Luke,✓,0-441-00773-2,
Jacques,Brian,Redwall,5,Outcast of Redwall,✓,0-14-240142-0,Taped
Jacques,Brian,Redwall,6,Mariel of Redwall,✓,0-14-230239-2,
Jacques,Brian,Redwall,7,Bellmaker,✓,0-441-00315-X,
Jacques,Brian,Redwall,8,Salamandastron,✓,0-14-250152-2,
Jacques,Brian,Redwall,9,Redwall,✓,0-441-00548-9,Taped
Jacques,Brian,Redwall,10,Mattimeo,✓,0-14-230240-6,
Jacques,Brian,Redwall,11,Pearls of Lutra,✓,0-14-240144-7,
Jacques,Brian,Redwall,12,Long Patrol,✓,0-14-240245-1,
Jacques,Brian,Redwall,13,Marlfox,✓,0-441-00693-0,
Jacques,Brian,Redwall,14,Taggerung,✓,0-14-250154-9,
Jacques,Brian,Redwall,15,Triss,✓,0-14-240248-6,
Jacques,Brian,Redwall,16,Loamhedge,,0-399-23724-0,
Jacques,Brian,Redwall,17,Rakkety Tam,✓,0-441-01318-X,
Jacques,Brian,Redwall,18,High Rhulain,,0-399-24208-2,
Jacques,Brian,Redwall,20,Doomwyte,✓,978-0-441-01778-2,
Jemisin,N. K.,Inheritance,1,Hundred Thousand Kingdoms,✓,978-0-316-04392-2,
Johansen,Iris,,,Midnight Warrior,✓,978-0-553-59216-0,
Jones,Howard Andrew,Pathfinder Tales,10,Stalking the Beast,✓,978-1-60125-572-3,
Jordan,Robert,Wheel of Time,1,Eye of the World,✓,978-0-8125-1181-9,
Jordan,Robert,Wheel of Time,2,Great Hunt,✓,978-0-8125-1772-9,
Jordan,Robert,Wheel of Time,3,Dragon Reborn,✓,978-0-8125-1371-4,
Jordan,Robert,Wheel of Time,4,Shadow Rising,✓,0-812-51373-8,
Jordan,Robert,Wheel of Time,5,Fires of Heaven,✓,0-812-55030-7,
Jordan,Robert,Wheel of Time,6,Lord of Chaos,✓,978-0-8125-1375-2,
Jordan,Robert,Wheel of Time,7,Crown of Swords,✓,978-0-8125-5028-3,
Jordan,Robert,Wheel of Time,8,Path of Daggers,✓,0-812-55029-3,
Jordan,Robert,Wheel of Time,9,Winter's Heart,✓,978-0-8125-7558-3,
Jordan,Robert,Wheel of Time,10,Crossroads of Twilight,✓,978-0-8125-7133-2,
Jordan,Robert,Wheel of Time,11,Knife of Dreams,✓,0-812-57756-6,
Jordan,Robert,Wheel of Time,14,Memory of Light,✓,978-0-7653-6488-3,
Jordan,Robert,Wheel of Time: In the Beginning,,New Spring,✓,0-765-34545-5,
Kadohata,Cynthia,,,Cracker! The Best Dog in Vietnam,,978-1-4169-0637-7,
Kavanaugh,James,,,There are Men Too Gentle to Live Among Wolves,,0-8402-1141-4,
Kay,Guy Gavriel,,,Tigana,✓,978-0-451-45776-9,
Kendrick,Baynard,,,Flames of Time,,,
Kerner,Elizabeth,Song In the Silence,1,Song In the Silence,✓,978-0-8125-5044-3,
Kerner,Elizabeth,Song In the Silence,2,Lesser Kindred,✓,978-0-8125-6875-2,
Kerner,Elizabeth,Song In the Silence,3,Redeeming the Lost,✓,0-812-56876-1,
Kerr,Katharine,Dragon Mage,1,The Red Wyvern,✓,0-553-57264-4,
Kerr,Katharine,Westlands,10,Days of Air and Darkness,✓,0-553-57262-8,
Kiernan,Caitlín R.,,,Beowulf,✓,978-0-06-134128-1,
King,Gabriel,Wild Road,1,Wild Road,✓,0-345-42303-8,
King,Gabriel,Wild Road,2,Golden Cat,✓,0-345-42305-4,
Kipling,Rudyard,Kipling: A Selection of His Stories and Poems,,Volume 1,,56-6647,
Kipling,Rudyard,Kipling: A Selection of His Stories and Poems,,Volume 2,,56-6647,
Kirkpatrick,Russell,Fire of Heaven,1,Across the Face of the World,✓,978-0-316-00341-4,
Kirkpatrick,Russell,Fire of Heaven,2,In the Earth Abides the Flame,✓,978-0-316-00342-1,
Kirkpatrick,Russell,Fire of Heaven,3,Right Hand of God,✓,978-0-316-00343-8,
Knight,E. E.,Age of Fire,1,Dragon Champion,✓,0-451-46047-2,Taped
Knight,E. E.,Age of Fire,2,Dragon Avenger,✓,0-451-46109-6,Taped
Knight,E. E.,Age of Fire,3,Dragon Outcast,✓,978-0-451-46185-8,Taped
Knight,E. E.,Age of Fire,4,Dragon Strike,✓,978-0-451-46235-0,
Knight,E. E.,Age of Fire,5,Dragon Rule,✓,978-0-451-46295-4,
Knight,E. E.,Age of Fire,6,Dragon Fate,✓,978-0-451-46356-2,
Konietzko,Bryan,Avatar: the Last Airbender,1,Lost Adventures,✓,978-1-59582-748-7,
Koontz,Dean,,,Darkest Evening of the Year,✓,978-0-553-58912-2,
Koyanagi,Jacqueline,Tangled Axon,1,Ascension,✓,978-1-60701-401-0,
Kreyszig,Erwin,Math,,Advanced Engineering Mathematics,,978-0-470-45836-5,
Kushner,Ellen,,,Swordspoint,✓,0-553-58549-5,
L'Engle,Madeleine,Wrinkle in Time,1,Wrinkle in Time,✓,0-440-49805-8,
L'Engle,Madeleine,Wrinkle in Time,2,Swiftly Tiliting Planet,✓,0-440-40158-5,
L'Engle,Madeleine,Wrinkle in Time,3,Many Waters,✓,0-440-40548-3,
Lackey,Mercedes,,,Flights of Fantasy,✓,0-88677-863-8,Short story collection by different authors
Lackey,Mercedes,,,Owlflight,,0-88677-754-2,
Lake,Jay,,,Love in the Time of Metal and Flesh,,978-1-60701-340-2,
Langan,John,,,Creatures: Thirty Years of Monsters,✓,978-1-60701-284-9,Short story collection by different authors
LaPlante,Richard,,,Tegné,✓,0-812-55270-9,
Larke,Glenda,Forsaken Lands,1,Lascar's Dagger,✓,978-0-316-39966-1,
Larke,Glenda,Forsaken Lands,2,Dagger's Path,✓,978-0-316-39968-5,
Larke,Glenda,Stormlord,1,Last Stormlord,✓,978-0-316-06915-1,
Larke,Glenda,Stormlord,2,Stormlord Rising,✓,978-0-316-06914-4,
Larke,Glenda,Stormlord,3,Stromlord's Exile,✓,978-0-316-06913-7,
Larsen,Nella,,,Quicksand,✓,978-0-486-45140-4,
Lasky,Kathryn,Legend of the Guardians: Owls of Ga'Hoole,1 - 3,Guardians of Ga'Hoole Collection,,978-0-545-26352-8,
Lawrence,Mark,Broken Empire,1,Prince of Thorns,✓,978-1-937007-68-3,
Lawrence,Mark,Broken Empire,2,King of Thorns,✓,978-0-425-25623-7,2 owned
Lawrence,Mark,Broken Empire,3,Emperor of Thorns,✓,978-0-425-25654-1,
Lee,Harper,,,To Kill a Mockingbird,✓,978-0-06-112008-4,
Lee,Tanith,Black Unicorn,1,Black Unicorn,✓,978-1-59687-162-5,
Lee,Tanith,Black Unicorn,1,Black Unicorn,,0-689-31575-9,
Lee,Tanith,Black Unicorn,2,Gold Unicorn,✓,0-812-54320-3,
Lee,Tanith,Black Unicorn,2,Gold Unicorn,,0-689-31814-6,
Lee,Tanith,Black Unicorn,3,Red Unicorn,✓,0-765-34568-4,
Lee,Tanith,Black Unicorn,3,Red Unicorn,,0-312-86265-2,
Lee,Tanith,,,Heart-Beast,✓,0-440-21455-6,
LeGuin,Ursula K.,Gifts,1,Gifts,✓,0-15-205124-4,
LeGuin,Ursula K.,Gifts,2,Voices,✓,978-0-15-206242-2,
LeGuin,Ursula K.,,,Tombs of Atuan,✓,978-0-689-84536-9,
Lehr,Helene,,,Star of the North,,0-312-03939-5,
LeValliant,Ted,,,What's the Verdict?,✓,0-8069-7466-4,
Levin,Nora,,,Holocaust,,67-23676,
Levine,Gail Carson,Tale of Two Castles,1,Tale of Two Castles,✓,978-0-06-122967-1,
Levine,Gail Carson,The Princess Tales,,The Fairy's Return,,0-06-623800-5,
Levine,Gail Carson,,,Ella Enchanted,✓,0-06-440705-5,
Levine,Gail Carson,,,Ever,✓,978-0-06-122964-0,
Levine,Gail Carson,,,Fairest,✓,978-0-06-073410-7,
Levine,Gail Carson,,,Two Princesses of Bamarre,✓,0-439-39883-5,
Lewis,C. S.,Chronicles of Narnia,1,Magician's Nephew,✓,0-590-25475-8,
Lewis,C. S.,Chronicles of Narnia,2,"Lion, the Witch and the Wardrobe",✓,0-590-25476-6,
Lewis,C. S.,Chronicles of Narnia,3,Horse and His Boy,✓,0-590-25477-4,
Lewis,C. S.,Chronicles of Narnia,4,Prince Caspian,✓,0-590-25478-2,
Lewis,C. S.,Chronicles of Narnia,5,Voyage of the Dawn Treader,✓,0-590-25479-0,
Lewis,C. S.,Chronicles of Narnia,6,Silver Chair,✓,978-0-590-25480-9,
Lewis,C. S.,Chronicles of Narnia,7,Last Battle,✓,0-590-25481-2,
Lindskold,Jane,Through Wolf's Eyes,1,Through Wolf's Eyes,✓,978-0-8125-7548-4,
Lindskold,Jane,Through Wolf's Eyes,2,"Wolf's Head, Wolf's Heart",✓,0-812-57549-0,Taped
Lindskold,Jane,Through Wolf's Eyes,3,Dragon of Despair,✓,0-765-34158-1,
Lindskold,Jane,Through Wolf's Eyes,4,Wolf Captured,✓,978-0-7653-4823-4,
Lindskold,Jane,Through Wolf's Eyes,5,Wolf Hunting,✓,978-0-765-35143-2,
Lindskold,Jane,Through Wolf's Eyes,6,Wolf's Blood,✓,978-0-7653-5374-0,
Lint,Charles de,,,Onion Girl,✓,0-765-30381-7,
Lint,Charles de,,,Wolf Moon,✓,0-14-240077-7,
London,Jack,,,White Fang,✓,0-439-23619-3,
Longden,Deric,,,Cat Who Came In From the Cold,,0-553-08963-3,
Longstreet,Stephen,,,Stallion Road,,,
Loughney,Martin,,,Springs of Irish Wit,,,Collection of quotes by different people
Lowry,Lois,,,Giver,✓,0-440-23768-8,
Lu,Marie,Legend,1,Legend,,978-0-399-25675-2,
Lu,Marie,Legend,2,Prodigy,,978-0-399-25676-9,
Lu,Marie,Legend,3,Champion,,978-0-399-25677-6,
Lustbader,Eirc Van,Pearl,1,Ring of Five Dragons,,0-312-87235-6,
Lynch,Scott,Locke Lamora,1,Lies of Locke Lamora,✓,978-0-553-58894-1,
Lynch,Scott,Locke Lamora,2,Red Seas Under Red Skies,✓,978-0-553-58895-8,
Lynch,Scott,Locke Lamora,3,Republic of Thieves,✓,978-0-553-58896-5,
MacFarlane,Alex Dally,,,Aliens: Recent Encounters,✓,978-1-60701-391-4,Short story collection by different authors
Maija,,,,Magic of Maija,,,
Main,Michael,Computer Science,,Data Structures and Other Objects Using C++,✓,978-0-13-212948-0,
Malan,Violette,Dhylun and Parno,1,Sleeping God,✓,978-0-7564-0484-0,
Malan,Violette,Dhylun and Parno,2,Soldier King,✓,978-0-7564-0516-8,
Malan,Violette,Dhylun and Parno,3,Storm Witch,✓,978-0-7564-0574-8,
Malan,Violette,,,Mirror Prince,✓,978-0-7564-0423-9,
Mano,M. Morris,Electric Engineering,,Digital Design,,978-0-13-277420-8,
Mantzaris,Anna,,,1001 Things You Didn't Know You Wanted to Know,,978-1-4351-1027-4,
Marco,John,Eyes of God,1,Eyes of God,✓,0-7564-0096-1,
Marco,John,Eyes of God,2,Devil's Armor,✓,0-7564-0203-4,
Marlowe,Scott,Alchemancer,1,Five Elements,✓,978-1-45650-485-4,
Marlowe,Scott,Alchemancer,2,Nullification Engine,✓,978-1-49356-039-4,
Martel,Yann,,,Life of Pi,✓,0-15-603020-9,
Martin,Gail Z.,Ascendant Kingdoms Saga,1,Ice Forged,✓,978-0-316-09358-3,
Martin,Gail Z.,Ascendant Kingdoms Saga,2,Reign of Ash,✓,978-0-316-09363-7,
Martin,Gail Z.,Ascendant Kingdoms Saga,3,War of Shadows,✓,978-0-316-27802-7,
Martin,Gail Z.,Winter Kingdoms: 1 Chronicles of the Necromancer,1,Summoner,✓,978-1-84416-468-4,
Martin,Gail Z.,Winter Kingdoms: 1 Chronicles of the Necromancer,2,Blood King,✓,978-1-84416-531-5,
Martin,Gail Z.,Winter Kingdoms: 1 Chronicles of the Necromancer,3,Dark Haven,✓,978-1-84416-598-8,
Martin,Gail Z.,Winter Kingdoms: 1 Chronicles of the Necromancer,4,Dark Lady's Chosen,✓,978-1-84416-831-6,
Martin,Gail Z.,Winter Kingdoms: 2 Fallen Kings Cycle,1,Sworn,✓,978-0-316-09357-6,
Martin,Gail Z.,Winter Kingdoms: 2 Fallen Kings Cycle,2,Dread,✓,978-0-316-09361-3,
Martin,George R. R.,Song of Ice and Fire,1,Game of Thrones,✓,978-0-553-57340-4,
Martin,George R. R.,Song of Ice and Fire,2,Clash of Kings,✓,978-0-553-57990-1,
Martin,George R. R.,Song of Ice and Fire,3,Storm of Swords,✓,978-0-553-57342-8,
Martin,George R. R.,Song of Ice and Fire,4,Feast for Crows,✓,978-0-553-58202-4,
Martin,George R. R.,Song of Ice and Fire,5,Dance with Dragons,✓,978-0-00-648611-4,
Martin,Robert C.,Computer Science,,Agile Software Development,,0-13-597444-5,
Marzollo,Jean,,,I Spy Little Book,,0-590-34129--4,
Massie,Robert K.,,,Catherine the Great,✓,978-0-345-40877-8,
Maxey,James,Dragon Age,2,Dragonforge,✓,978-1-84416-581-0,
McCaffrey,Anne,Brainship,1,Ship Who Sang,✓,0-345-27551-9,
McCaffrey,Anne,Crystal,2,Nimisha's Ship,✓,0-345-43425-0,
McCaffrey,Anne,Crystal: Crystal Singer,1,Crystal Singer,✓,0-345-32786-1,
McCaffrey,Anne,Crystal: Crystal Singer,2,Killashandra,✓,0-345-31600-2,
McCaffrey,Anne,Crystal: Crystal Singer,3,Crystal Line,✓,0-345-38491-1,
McCaffrey,Anne,Doona,1,Decision at Doona,✓,0-345-27864-X,
McCaffrey,Anne,Pern: 1 Dragonriders of Pern,2,Dragonquest,✓,0-345-28425-9,
McCaffrey,Anne,Pern: 1 Dragonriders of Pern,3,White Dragon,✓,0-345-29525-0,
McCaffrey,Anne,Pern: 1 Dragonriders of Pern,1 - 3,Dragonriders of Pern,,,
McCaffrey,Anne,Pern: 2 Harper Hall,1,Dragonsong,✓,0-553-22557-X,
McCaffrey,Anne,Pern: 3,1,Moreta: Dragonlady of Pern,✓,0-345-29873-X,
McCaffrey,Anne,Pern: 3,4,Renegades of Pern,✓,0-345-36933-5,
McCaffrey,Anne,Pern: 3,11,Girl Who Heard Dragons,✓,0-812-51099-2,
McCaffrey,Anne,Talent,1,To Ride Pegasus,✓,0-345-27357-5,
McCaffrey,Anne,Talent,3,Pegasus in Space,✓,0-345-43467-6,
McCaffrey,Anne,,,Restoree,✓,0-345-27674-4,
McClellan,Brian,Powder Mage,1,Promise of Blood,✓,978-0-316-21904-4,
McClellan,Brian,Powder Mage,2,Crimson Campaign,✓,978-0-316-21907-5,
McCullough,David,,,1776,,0-7432-2671-2,
McGreevy,Paul,Little Guides,,Dogs,✓,1-875137-63-7,
McIntosh,Fiona,Quickening,1,Myrren's Gift,✓,978-0-06-074757-2,
McIntosh,Fiona,Quickening,2,Blood and Memory,✓,978-0-06-074759-6,
McIntosh,Fiona,Quickening,3,Bridge of Souls,✓,978-0-06-074761-9,
McKinley,Robin,Damar,1,Hero and the Crown,✓,978-0-14-130981-1,
McKinley,Robin,Damar,2,Blue Sword,✓,978-0-14-130975-0,
McKinley,Robin,,,Beauty: A Retelling of the Story of Beauty & the Beast,,978-0-06-440477-8,
McKinley,Robin,,,Dragonhaven,✓,978-0-441-01643-3,
McMurry,John E.,Chemistry,,General Chemistry: Atoms First,✓,978-0-558-36635-3,
McPhail,Melissa,Pattern of Shadow & Light,1,Cephrael's Hand,,978-0-9906291-5-3,
McPhail,Melissa,Pattern of Shadow & Light,2,Dagger of Adendigaeth,,978-0-9906291-3-9,
McPhail,Melissa,Pattern of Shadow & Light,3,Paths of Alir,,978-0-9906291-0-8,
Melville,Herman,,,Moby-Dick,,1-56619-263-3,
Merriam-Webster,,English,,Pocket Dictionary,✓,0-87779-500-2,
Messud,Claire,,,Emperor's Children,✓,978-0-307-27666-7,
Mikaelsen,Ben,,,Ghost of Spirit Bear,✓,978-0-545-24354-4,
Miller,Karen,Godspeaker,1,Empress,✓,978-0-316-00835-8,
Miller,Karen,Godspeaker,2,Riven Kingdom,✓,978-0-316-00836-5,
Miller,Karen,Godspeaker,3,Hammer of God,✓,978-0-316-00837-2,
Miller,Karen,Mage: 1,,Blight of Mages,✓,978-0-316-19834-9,
Miller,Karen,"Mage: 2 Kingmaker, Kingbreaker",1,Innocent Mage,✓,978-0-316-06780-5,
Miller,Karen,"Mage: 2 Kingmaker, Kingbreaker",2,Awakened Mage,✓,978-0-316-06781-2,
Miller,Karen,Mage: 3 Fisherman's Children,1,Prodigal Mage,✓,978-0-316-07640-1,
Miller,Karen,Mage: 3 Fisherman's Children,2,Reluctant Mage,✓,978-0-316-13338-8,
Milton,Joyce,,,Big Cats,✓,0-448-40564-4,
Minnton,Janyce,,,Legends of King Arthur,,65-17628,
Mitchard,Jacquelyn,,,Deep End of the Ocean,,0-670-86579-6,
Mitter,Rana,Economics,,Modern China,✓,978-0-19-922802-7,
"Modesitt, Jr.",L. E.,Corean Chronicles,8,Lady-Protector,✓,978-0-7653-6639-9,
Montgomery,L. M.,,,Anne of Green Gables,✓,0-694-01251-3,
Mooney,Dr. James,Math,,Calculus for AP* Physics C and Beyond,✓,978-1-413-82210-6,
Mooney,Dr. James,Physics,,Physics C,✓,978-1-4138-0492-8,
Moredun,P. R.,World of Eldaterra,1,Dragon Conspiracy,,978-0-06-076664-1,
Morpurgo,Michael,,,Animal Stories,✓,0-7534-5191-3,Short story collection by different authors
Mortenson,Greg,,,Three Cups of Tea,✓,978-0-14-303825-2,
Mostyn-Brown,Megan,,,Girl.,✓,978-0-573-65104-5,
Mull,Brandon,Fablehaven,1,Fablehaven,✓,978-1-4169-4720-2,
Mull,Brandon,Fablehaven,2,Rise of the Evening Star,✓,978-1-4169-5770-6,
Mull,Brandon,Fablehaven,3,Grip of the Shadow Plague,✓,978-1-4169-8603-4,
Mull,Brandon,Fablehaven,4,Secrets of the Dragon Sanctuary,✓,978-1-4169-9028-4,
Mull,Brandon,Fablehaven,5,Keys to the Demon Prison,✓,978-1-4169-9029-1,
Murdock,Catherine Gilbert,,,Princess Ben,,978-0-618-95971-6,
Nahm,Milton C.,,,Selections from Early Greek Philosophy,✓,65-10463,
Napoli,Donna Jo,,,North,✓,978-0-06-057989-0,
Napoli,Donna Jo,,,Sirena,✓,0-590-38389-2,
Naylor,Phyllis Reynolds,Club of Mysteries,3,Carlotta's Kittens,✓,0-689-83459-4,
Neumeier,Rachel,Griffin Mage,1 - 3,Griffin Mage Trilogy,✓,978-0-316-19354-2,
Nilsson,James W.,Electric Engineering,,Electric Circuits,,978-0-13-611499-4,
Nisan,Noam,Computer Science,,Elements of Computing Systems,✓,978-0-262-64068-8,
North,Sterling,,,Rascal,✓,0-439-58574-0,
North,Sterling,,,Wolfling,✓,0-14-036166-9,
Northcutt,Wendy,Darwin Awards,2,Unnatural Selection,,0-525-94623-3,
Northcutt,Wendy,Darwin Awards,3,Survival of the Fittest,✓,0-452-28572-0,
Novik,Naomi,Temeraire,1,His Magesty's Dragon,✓,978-0-345-48128-3,
Novik,Naomi,Temeraire,2,Throne of Jade,✓,978-0-345-48129-0,
Novik,Naomi,Temeraire,3,Black Powder War,✓,0-345-48130-5,
Novik,Naomi,Temeraire,4,Empire of Ivory,✓,978-0-345-49687-4,
Novik,Naomi,Temeraire,5,Victory of Eagles,✓,978-0-345-51225-3,
Novik,Naomi,Temeraire,6,Tongues of Serpents,✓,978-0-345-49690-4,
Novik,Naomi,Temeraire,7,Crucible of Gold,✓,978-0-345-52287-0,
O'Brien,Robert C.,,,Silver Crown,✓,0-689-84111-6,
O'Dell,Scott,,,Island of the Blue Dolphins,✓,0-440-94000-1,Taped
O'Mara,Lesley,,,Best Cat Stories,,0-517-07391-9,Short story collection by different authors
Okorafor,Nnedi,,,Kabu-Kabu Stories,✓,978-1-60701-405-8,
Orwell,George,,,Animal Farm,✓,0-451-52466-7,
PADI,,Scuba Diving,,Go Dive - Open Water Diver Manual,✓,1-878663-16-X,
Palma,Félix J.,,,Map of Time,,978-1-4391-6739-7,
Paolini,Christopher,Inheritance Cycle,1,Eragon,,0-375-82668-8,Taped outer cover
Paolini,Christopher,Inheritance Cycle,2,Eldest,,0-375-82670-X,Taped outer cover
Paolini,Christopher,Inheritance Cycle,3,Brisinger,,978-0-375-82672-6,
Paolini,Christopher,Inheritance Cycle,4,Inheritance,,978-0-375-85611-2,
Park,Linda Sue,,,Single Shard,✓,0-440-41851-8,
Paterson,Katherine,,,Bridge to Terabithia,✓,0-06-440184-7,
Patterson,David A.,Computer Science,,Computer Organization and Design,✓,978-0-12-374750-1,
Patterson,Janci,,,Thousand Faces,✓,978-1-51699-942-2,
Paulsen,Gary,Brian,1,Hatchet,✓,978-1-4169-3647-3,
Paulsen,Gary,Brian,3,Brian's Winter,✓,0-439-65031-3,
Paulsen,Gary,Brian,4,Brian's Return,✓,0-440-41379-6,
Paulsen,Gary,,,Winterdance,✓,0-15-600145-4,
Penner,Lucille Recht,,,Sitting Bull,✓,0-448-40937-2,
Perry,Anne,,,Tathea,✓,0-441-00970-0,
Petty,Jo,,,Apples of Gold,,,
Petty,Jo,,,Treasures of Silver,,0-8378-1768-4,
Petty,Jo,,,Wings of Silver,,67-21924,
Petzold,Charles,Computer Science,,CODE,✓,978-0-7356-1131-3,
Pfloog,Jan,,,Fox Book,✓,0-307-58143-8,
Philbrick,Rodman,,,The Last Book in the Universe,,0-439-08759-7,
Phillips,Holly,,,At the Edge of Waking,✓,978-1-60701-356-3,Short story collection
Phillpotts,Eden,,,Song of a Sailor Man,,,
Pierce,Tamora,Circle: 1 Circle of Magic,1,Sandry's Book,✓,0-590-55408-5,
Pierce,Tamora,Circle: 1 Circle of Magic,2,Tris's Book,✓,0-590-55409-3,
Pierce,Tamora,Circle: 1 Circle of Magic,3,Daja's Book,✓,0-590-55410-7,
Pierce,Tamora,Circle: 1 Circle of Magic,4,Brair's Book,✓,0-590-55411-5,
Pierce,Tamora,Circle: 2 Circle Opens,1,Magic Steps,✓,0-590-39605-6,
Pierce,Tamora,Circle: 2 Circle Opens,2,Street Mage,✓,0-590-39643-9,
Pierce,Tamora,Circle: 2 Circle Opens,3,Cold Fire,✓,0-590-39656-0,
Pierce,Tamora,Circle: 2 Circle Opens,4,Shatterglass,✓,0-590-39696-X,
Pierce,Tamora,Circle: 3,1,Will of the Empress,✓,0-439-44172-2,
Pierce,Tamora,Circle: 3,2,Melting Stones,✓,978-0-545-05265-8,
Pierce,Tamora,Tortall: 1 Beka Cooper,1,Terrier,,978-0-375-81468-6,
Pierce,Tamora,Tortall: 1 Beka Cooper,2,Bloodhound,✓,978-0-375-83817-0,
Pierce,Tamora,Tortall: 1 Beka Cooper,3,Mastiff,✓,978-0-375-83818-7,
Pierce,Tamora,Tortall: 2 Song of the Lioness,1,Alanna,✓,0-689-87855-9,
Pierce,Tamora,Tortall: 2 Song of the Lioness,2,In the Hands of the Goddess,✓,0-689-87858-7,
Pierce,Tamora,Tortall: 2 Song of the Lioness,3,Woman Who Rides Like a Man,✓,0-689-87858-3,
Pierce,Tamora,Tortall: 2 Song of the Lioness,4,Lioness Rampant,✓,0-689-87857-5,
Pierce,Tamora,Tortall: 3 Immortals,1,Wild Magic,✓,1-4169-0343-7,
Pierce,Tamora,Tortall: 3 Immortals,2,Wolf-Speaker,✓,1-4169-0344-5,
Pierce,Tamora,Tortall: 3 Immortals,3,Emperor Mage,✓,1-4169-0337-2,
Pierce,Tamora,Tortall: 3 Immortals,4,Realms of the Gods,✓,978-1-4169-0817-3,
Pierce,Tamora,Tortall: 4 Protector of the Small,1,First Test,✓,978-0-679-88917-5,
Pierce,Tamora,Tortall: 4 Protector of the Small,2,Page,✓,978-0-679-88918-2,
Pierce,Tamora,Tortall: 4 Protector of the Small,3,Squire,✓,978-0-679-88919-9,
Pierce,Tamora,Tortall: 4 Protector of the Small,4,Lady Knight,✓,978-0-375-81471-6,
Pierce,Tamora,Tortall: 5 Trickster,1,Trickster's Choice,✓,978-0-375-81472-3,
Pierce,Tamora,Tortall: 5 Trickster,2,Trickster's Queen,✓,978-0-375-81473-0,
Pierce,Tamora,,,Young Warriors,✓,0-375-82963-6,Short story collection by different authors
Pilcher,Rosamunde,,,September,,0-312-04419-4,
Pine,Red,,,Collected Songs of Cold Mountain,,0-914742-73-6,
Plutarch,,,,Lives of the Noble Romans,,,
Poe,Edgar Allan,Works of...,,Works of Poe,,,
Poe,Edgar Allan,,,Complete Tales and Poems,,978-1-4351-4458-3,
Poe,Edgar Allan,,,Tales of Edgar Allan Poe,,,
Pullman,Philip,His Dark Materials,1,Golden Compass,✓,978-0-440-23813-3,
Pullman,Philip,His Dark Materials,2,Subtle Knife,✓,978-0-440-23814-0,
Pullman,Philip,His Dark Materials,3,Amber Spyglass,✓,978-0-440-23815-7,
Quinn,Daniel,Ishmael,1,Ishmael: An Adventure of the Mind and Spirit,✓,978-0-553-37540-4,
Quinn,Daniel,Ishmael,2,My Ishmael,✓,0-553-37965-8,
Ranum,Orest,,,Century of Louis XIV,✓,0-06-139350-9,
Rasmussen,Rebecca,,,Bird Sisters,,978-0-307-71796-2,
Ratner,Vaddey,,,In the Shadow of the Banyan,,978-1-4516-5771-5,
Rawlings,Marjorie Kinnan,,,Yearling,✓,0-02-044931-3,
Rawn,Melanie,Desert: 1 Dragon Prince,1,Dragon Prince,✓,978-0-88677-450-9,
Rawn,Melanie,Desert: 1 Dragon Prince,2,Star Scroll,✓,0-88677-349-0,
Rawn,Melanie,Desert: 1 Dragon Prince,3,Sun-Runner's Fire,✓,0-88677-403-9,
Rawn,Melanie,Desert: 2 Dragon Star,1,Stronghold,✓,978-0-88677-482-0,
Rawn,Melanie,Desert: 2 Dragon Star,2,Dragon Token,✓,978-0-88677-542-1,
Rawn,Melanie,Desert: 2 Dragon Star,3,Skybowl,✓,978-0-88677-595-7,
Rawn,Melanie,Exiles,1,Ruins of Ambrai,✓,978-0-88677-668-8,
Rawn,Melanie,Exiles,2,Mageborn Traitor,,0-88677-730-5,
Ray,Blaine,,,Pauvre Anne,✓,0-929724-54-2,
Rees,Celia,Witch Child,1,Witch Child,✓,978-0-7636-4228-0,
Rees,Celia,Witch Child,2,Sorceress,,0-7636-1847-0,
Rice,Anne,,,Vampire Armand,✓,0-345-40927-2,
Richards,Susan,,,Chosen by a Horse,✓,978-0-15-603117-2,
Rinaldi,Ann,,,Ride Into Morning,✓,0-15-200673-7,
Riordan,Rick,Kane,1,Red Pyramid,,978-1-4231-1338-6,
Riordan,Rick,Kane,2,Throne of Fire,,978-1-4231-4056-6,
Riordan,Rick,Kane,3,Serpent's Shadow,,978-1-4231-4057-3,
